date,time,question,response,answer,removed_letter,was_correct,clues_row,
2022:01:19,11:04:50,U?A,S,USA,S,True,10718
2022:01:19,11:05:32,MTE?NA,n,MTETNA,T,False,41894
2022:01:19,11:19:22,MIDW?Y,a,MIDWAY,A,True,80107
2022:01:19,11:19:27,EMPIRESTA?E,t,EMPIRESTATE,T,True,95704
2022:01:19,11:19:51,S?D,o,SYD,Y,False,30193
2022:01:19,11:20:12,SE?ES,x,SELES,L,False,37629
2022:01:19,11:21:18,OLS?N,o,OLSEN,E,False,26839
2022:01:19,11:22:04,CAP?,e,CAPN,N,False,40042
2022:01:19,11:22:39,?LUTE,f,ELUTE,E,False,70368
2022:01:19,11:23:17,REEB?KS,a,REEBOKS,O,False,66963
2022:01:19,11:23:24,J?FAR,a,JAFAR,A,True,57529
2022:01:19,11:23:58,L?DA,i,LEDA,E,False,21215
2022:01:19,11:24:24,?APAZ,t,LAPAZ,L,False,46111
2022:01:19,11:24:51,PE?LE,e,PEELE,E,True,70934
2022:01:19,11:25:34,AGGRAVATEDASALT(soundslikeaggr?vatedassault),a,AGGRAVATEDASALT(soundslikeaggravatedassault),a,True,94928
2022:01:19,11:25:52,CROS?UP,s,CROSSUP,S,True,79068
